","
"If checked Magento for Anymarket, orders from the magento will be registered in anymarket. If checked Anymarket for Magento, anymarket's orders will be registered in magento.","If checked Magento for Anymarket, orders from the magento will be registered in anymarket. If checked Anymarket for Magento, anymarket's orders will be registered in magento."
"If checked Magento for Anymarket, products from the magento will be registered in anymarket. If checked Anymarket for Magento, anymarket's products will be registered in magento.","If checked Magento for Anymarket, products from the magento will be registered in anymarket. If checked Anymarket for Magento, anymarket's products will be registered in magento."
"Type Synchronization","Type Synchronization"
"AnyMarket Payment Method","AnyMarket Payment Method"
"Integration (Products)","Integration (Products)"
"Integration (Orders)","Integration (Orders)"
"Magento to AnyMarket","Magento to AnyMarket"
"If marked yes, magento products will be registered in anymarket.","If marked yes, magento products will be registered in anymarket."
"AnyMarket to Magento","AnyMarket to Magento"
"If marked yes, anymarket products will be registered in magento.","If marked yes, anymarket products will be registered in magento."
"Attributes","Attributes"
"NBM Required","NBM Required"
"Important informations","Important informations"
"Ignore EAN Invalid","Ignore EAN Invalid"
"If marked yes, the validation will be done at the time of import.","If marked yes, the validation will be done at the time of import."
"Sync Products","Sync Products"
"Products list","Products list"
"Sync Orders","Sync Orders"
"Orders list","Orders list"
"There was an error updating the products.","There was an error updating the products."
"produtos.","produtos."
"Total %d products successfully listed.","Total %d products successfully listed."
"sucesso.","sucesso."
"Import Anymarket products marked as not.","Import Anymarket products marked as not."
"Export products to Anymarket marked as not.","Export products to Anymarket marked as not."
"Anymarket marcado como não.","Anymarket marcado como não."
"There was an error updating anymarket categories.","There was an error updating anymarket categories."
"categorias anymarket.","categorias anymarket."
"Please select anymarket categories.","Please select anymarket categories."
"Please select anymarket categories to delete.","Please select anymarket categories to delete."
"categorias para apagar.","categorias para apagar."
"Could not find anymarket categories to delete.","Could not find anymarket categories to delete."
"anymarket categorias a serem excluídos.","anymarket categorias a serem excluídos."
"There was an error deleting anymarket categories.","There was an error deleting anymarket categories."
"anymarket categorias.","anymarket categorias."
"Anymarket Categories was successfully deleted.","Anymarket Categories was successfully deleted."
"excluído com sucesso.","excluído com sucesso."
"Anymarket Categories was successfully saved","Anymarket Categories was successfully saved"
"There was a problem saving the anymarket categories.","There was a problem saving the anymarket categories."
"salvar as categorias anymarket.","salvar as categorias anymarket."
"Unable to find anymarket categories to save.","Unable to find anymarket categories to save."
"anymarket para salvar.","anymarket para salvar."
"Successfully synchronized categories.","Successfully synchronized categories."
"Anymarket Attributes was successfully deleted.","Anymarket Attributes was successfully deleted."
"excluído com sucesso.","excluído com sucesso."
"Unable to find anymarket attributes to save.","Unable to find anymarket attributes to save."
"atributos para salvar.","atributos para salvar."
"There was a problem saving the anymarket attributes.","There was a problem saving the anymarket attributes."
"salvar os atributos anymarket.","salvar os atributos anymarket."
"Anymarket Attributes was successfully saved","Anymarket Attributes was successfully saved"
"Will be integrated","Will be integrated"
"Product Name","Product Name"
"Product SKU","Product SKU"
"None","None"
"Price","Price"
"Length_am","Length"
"Height","Height"
"Width","Width"
"Brand","Brand"
"Add Order Status Magento","Add Order Status Magento"
"Add Order Status Anymarket","Add Order Status Anymarket"
"Attribute corresponding to the Width","Attribute corresponding to the Width"
"Select the attribute that corresponds to the model AnyMarket","Select the attribute that corresponds to the model AnyMarket"
"Atributo que corresponde a modelo no AnyMarket","Atributo que corresponde a modelo no AnyMarket"
"Select the attribute that corresponds to the brand AnyMarket","Select the attribute that corresponds to the brand AnyMarket"
"Atributo que corresponde a marca no AnyMarket","Atributo que corresponde a marca no AnyMarket"
"Select the attribute that corresponds to the time bars on AnyMarket","Select the attribute that corresponds to the time bars on AnyMarket"
"Atributo que corresponde ao tempo de barras no AnyMarket","Atributo que corresponde ao tempo de barras no AnyMarket"
"Select the attribute that corresponds to the guarantee in AnyMarket","Select the attribute that corresponds to the guarantee in AnyMarket"
"Select the attribute that corresponds to the barcode on AnyMarket","Select the attribute that corresponds to the barcode on AnyMarket"
"Atributo que corresponde ao código de barras no AnyMarket","Atributo que corresponde ao código de barras no AnyMarket"
"Select the attribute that corresponds to the rise in AnyMarket","Select the attribute that corresponds to the rise in AnyMarket"
"Atributo que corresponde ao origem no AnyMarket","Atributo que corresponde ao origem no AnyMarket"
"Select the attribute that corresponds to nbm in AnyMarket","Select the attribute that corresponds to nbm in AnyMarket"
"que corresponde ao nbm no AnyMarket","que corresponde ao nbm no AnyMarket"
"Select the attribute that corresponds to the video url in AnyMarket","Select the attribute that corresponds to the video url in AnyMarket"
"Atributo que corresponde ao video url no AnyMarket","Atributo que corresponde ao video url no AnyMarket"
"Attribute corresponding to the Brand","Attribute corresponding to the Brand"
"Model","Model"
"Attribute corresponding to the Model.","Attribute corresponding to the Model."
"Attribute corresponding to the Warranty time.","Attribute corresponding to the Warranty time."
"Tempo de Garantia.","Tempo de Garantia."
"Warranty time","Warranty time"
"Bar code","Bar code"
"Warranty","Warranty"
"Attribute corresponding to the Brand.","Attribute corresponding to the Brand."
"Attribute corresponding to the Width.","Attribute corresponding to the Width."
"Attribute corresponding to the Warranty.","Attribute corresponding to the Warranty."
"Attribute corresponding to the Bar code.","Attribute corresponding to the Bar code."
"Select the attribute that corresponds to the width in AnyMarket","Select the attribute that corresponds to the width in AnyMarket"
"Atributo que corresponde ao largura no AnyMarket","Atributo que corresponde ao largura no AnyMarket"
"Attribute corresponding to the Video Url.","Attribute corresponding to the Video Url."
"URL","URL"
"There was a problem saving the anymarket queue.","There was a problem saving the anymarket queue."
"There was an error deleting anymarket queue.","There was an error deleting anymarket queue."
"There was an error deleting anymarket queues.","There was an error deleting anymarket queues."
"There was an error updating anymarket queues.","There was an error updating anymarket queues."
"This anymarket queue no longer exists.","This anymarket queue no longer exists."
"Total of %d anymarket queues were successfully deleted.","Total of %d anymarket queues were successfully deleted."
"Total of %d anymarket queues were successfully updated.","Total of %d anymarket queues were successfully updated."
"Unable to find anymarket queue to save.","Unable to find anymarket queue to save."
"Update anymarket queue","Update anymarket queue"
"The anymarket queues has been deleted.","The anymarket queues has been deleted."
"Retrieve list of anymarket queues","Retrieve list of anymarket queues"
"Retrieve anymarketqueue info","Retrieve anymarketqueue info"
"Requested anymarket queue does not exist.","Requested anymarket queue does not exist."
"Remove anymarket queue","Remove anymarket queue"
"Please select anymarket queues to delete.","Please select anymarket queues to delete."
"Please select anymarket queues.","Please select anymarket queues."
"Error while saving anymarket queue. Details in error message.","Error while saving anymarket queue. Details in error message."
"Error while removing anymarket queue. Details in error message.","Error while removing anymarket queue. Details in error message."
"Error saving anymarket queue","Error saving anymarket queue"
"Could not find anymarket queue to delete.","Could not find anymarket queue to delete."
"Add anymarket queue","Add anymarket queue"
"An error occurred while updating the anymarket queues.","An error occurred while updating the anymarket queues."
"Attribute corresponding to the NBM.","Attribute corresponding to the NBM."
"Attribute corresponding to the Origem.","Attribute corresponding to the Origem."
"Attribute corresponding to the height.","Attribute corresponding to the height."
"Attribute corresponding to the length.","Attribute corresponding to the length."
"Select the attribute that corresponds to the height AnyMarket","Select the attribute that corresponds to the height AnyMarket"
"Atributo que corresponde ao altura no AnyMarket","Atributo que corresponde ao altura no AnyMarket"
"Select the attribute that corresponds to the price at AnyMarket","Select the attribute that corresponds to the price at AnyMarket"
"Atributo que corresponde ao preço no AnyMarket","Atributo que corresponde ao preço no AnyMarket"
"Attribute that corresponds to the price.","Attribute that corresponds to the price."
"Attribute responsible for import orders, usually CPF or RG.","Attribute responsible for import orders, usually CPF or RG."
"por importar Pedidos","por importar Pedidos"
"Configure all the necessary information to manage the attributes.","Configure all the necessary information to manage the attributes."
"Please select anymarket log to delete.","Please select anymarket log to delete."
"Please select anymarket log.","Please select anymarket log."
"Please select anymarket products to delete.","Please select anymarket products to delete."
"to delete.","to delete."
"Please select anymarket products.","Please select anymarket products."
"Product does not exist.","Product does not exist."
"Provided data is invalid.","Provided data is invalid."
"Remove anymarket log","Remove anymarket log"
"Remove anymarket products","Remove anymarket products"
"Remove","Remove"
"Requested anymarket log does not exist.","Requested anymarket log does not exist."
"exist.","exist."
"Requested anymarket products does not exist.","Requested anymarket products does not exist."
"does not exist.","does not exist."
"Reset","Reset"
"Retrieve anymarketlog01 info","Retrieve anymarketlog01 info"
"Retrieve anymarketproducts01 info","Retrieve anymarketproducts01 info"
"Retrieve list of anymarket log","Retrieve list of anymarket log"
"Retrieve list of anymarket products","Retrieve list of anymarket products"
"Save And Continue Edit","Save And Continue Edit"
"Save AnyMarket Log","Save AnyMarket Log"
"Save Anymarket Products","Save Anymarket Products"
"Status","Status"
"Store views","Store views"
"The anymarket log has been deleted.","The anymarket log has been deleted."
"The anymarket products has been deleted.","The anymarket products has been deleted."
"deleted.","deleted."
"There was a problem saving the anymarket log.","There was a problem saving the anymarket log."
"anymarket log.","anymarket log."
"There was a problem saving the anymarket products.","There was a problem saving the anymarket products."
"saving the anymarket products.","saving the anymarket products."
"There was an error deleting anymarket log.","There was an error deleting anymarket log."
"anymarket log.","anymarket log."
"There was an error deleting anymarket products.","There was an error deleting anymarket products."
"anymarket products.","anymarket products."
"There was an error updating anymarket log.","There was an error updating anymarket log."
"anymarket log.","anymarket log."
"There was an error updating anymarket products.","There was an error updating anymarket products."
"anymarket products.","anymarket products."
"This anymarket log no longer exists.","This anymarket log no longer exists."
"This anymarket products no longer exists.","This anymarket products no longer exists."
"exists.","exists."
"Total of %d anymarket log were successfully deleted.","Total of %d anymarket log were successfully deleted."
"log were successfully deleted.","log were successfully deleted."
"Total of %d anymarket log were successfully updated.","Total of %d anymarket log were successfully updated."
"log were successfully updated.","log were successfully updated."
"Total of %d anymarket products were successfully deleted.","Total of %d anymarket products were successfully deleted."
"anymarket products were successfully deleted.","anymarket products were successfully deleted."
"Total of %d anymarket products were successfully updated.","Total of %d anymarket products were successfully updated."
"anymarket products were successfully updated.","anymarket products were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"deleted.","deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"updated.","updated."
"Unable to find anymarket log to save.","Unable to find anymarket log to save."
"Unable to find anymarket products to save.","Unable to find anymarket products to save."
"to save.","to save."
"Update anymarket log","Update anymarket log"
"Update anymarket products","Update anymarket products"
"Update","Update"
"Updated at","Updated at"
"WYSIWYG Editor","WYSIWYG Editor"
"XML","XML"
"Yes","Yes"
